Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Sales,Quantity,Discount,Profit,Customer_Satisfaction_Score,Return_Status,Net_Revenue,Profit_Margin,Is_Profitable
ORD-1000,2025-04-13,CUST-142,Consumer,South,Technology,1189.594632505604,3,0.0,210.54345120702953,4.0,No,1189.594632505604,17.698755984092564,1
ORD-1001,2025-06-29,CUST-143,Consumer,West,Technology,162.78920445040902,11,0.3,318.7730621809417,5.0,No,113.9524431152863,195.81953438322165,1
ORD-1002,2025-04-03,CUST-128,Home Office,South,Office Supplies,133.89048276715795,8,0.5,123.79060077603759,4.0,No,66.94524138357897,92.45660947486122,1
ORD-1003,2025-01-15,CUST-112,Consumer,Central,Office Supplies,871.963192383202,12,0.2,3.612914319731601,5.0,Yes,697.5705539065616,0.4143425263005634,1
ORD-1004,2025-04-17,CUST-111,Corporate,East,Office Supplies,698.2804312376268,10,0.1,-79.94627944809437,4.0,No,628.4523881138641,-11.449021893166648,0
ORD-1005,2025-03-13,CUST-130,Corporate,Central,Office Supplies,336.251193206169,8,0.3,87.03898400865756,5.0,No,235.37583524431827,25.8851078500978,1
ORD-1006,2025-01-21,CUST-145,Corporate,West,Furniture,104.50904909689406,8,0.2,35.86251503487583,4.0,No,83.60723927751525,34.31522470520846,1
ORD-1007,2025-04-13,CUST-101,Consumer,East,Furniture,111.93331701975234,12,0.5,242.489737710744,4.0,No,55.96665850987617,216.6376769375583,1
ORD-1008,2025-05-02,CUST-149,Corporate,West,Office Supplies,1074.0871408503008,12,0.0,59.42049417847096,5.0,No,1074.0871408503008,5.532185603807783,1
ORD-1009,2025-03-16,CUST-134,Home Office,West,Furniture,238.32211641530407,9,0.5,327.0820383416798,3.0,No,119.16105820765203,137.24367811995307,1
ORD-1010,2025-03-29,CUST-122,Home Office,Central,Technology,394.81215891746973,4,0.1,333.0395913445029,4.0,No,355.3309430257228,84.3539348579486,1
ORD-1011,2025-04-27,CUST-116,Consumer,West,Technology,279.7211186501157,5,0.3,179.4088655979686,5.0,No,195.804783055081,64.13847708881039,1
ORD-1012,2025-04-10,CUST-125,Home Office,Central,Technology,432.4456039400054,5,0.3,317.8971291566973,4.0,Yes,302.71192275800377,73.51147202338082,1
ORD-1013,2025-04-14,CUST-107,Home Office,East,Office Supplies,92.6143728678511,8,0.1,242.38445503152303,4.0,No,83.35293558106599,261.71364932457595,1
ORD-1014,2025-06-01,CUST-128,Consumer,Central,Technology,627.6811511808418,7,0.2,146.08683843880678,5.0,Yes,502.14492094467346,23.274052146376714,1
ORD-1015,2025-05-11,CUST-125,Corporate,East,Furniture,90.45895067473573,9,0.2,-18.861429059749852,4.0,No,72.36716053978859,-20.85081566728549,0
ORD-1016,2025-05-30,CUST-109,Corporate,Central,Office Supplies,962.4242443086102,14,0.3,106.36907458122798,5.0,Yes,673.6969710160271,11.052202312052287,1
ORD-1017,2025-02-22,CUST-125,Corporate,South,Furniture,288.1173774734153,8,0.3,152.39350851317792,3.0,No,201.6821642313907,52.892855630424215,1
ORD-1018,2025-01-02,CUST-133,Consumer,South,Technology,652.6141783793676,2,0.0,288.7827113307546,2.0,No,652.6141783793676,44.250143637376496,1
ORD-1019,2025-03-29,CUST-140,Home Office,West,Technology,1057.2941141981353,10,0.2,116.6000194410492,3.0,No,845.8352913585082,11.028153649515025,1
ORD-1020,2025-06-07,CUST-106,Corporate,Central,Technology,784.5440691661611,12,0.1,303.95360270508047,4.0,No,706.089662249545,38.74270606979825,1
ORD-1021,2025-02-07,CUST-103,Corporate,Central,Office Supplies,644.219765996089,4,0.2,203.45704056056098,4.0,No,515.3758127968712,31.581930778851042,1
ORD-1022,2025-05-10,CUST-149,Consumer,East,Furniture,395.95716620729695,6,0.0,-38.35042162584788,5.0,No,395.95716620729695,-9.685497548431826,0
ORD-1023,2025-01-21,CUST-144,Corporate,West,Office Supplies,406.27227653925553,12,0.3,347.74161619629183,4.0,Yes,284.39059357747885,85.5932428268193,1
